# Rime user dictionary
#@/db_name	extended
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	615008
#@/user_id	c28f17ba-0bbb-4f45-89da-6c5d9fec0f91
bian nan 	变难	c=1 d=4.97637e-114 t=615008
bian pao 	鞭炮	c=1 d=0 t=615008
bian ping 	扁平	c=4 d=1.47626e-47 t=615008
bian qian 	变迁	c=1 d=2.10153e-237 t=615008
bian se 	变色	c=1 d=2.94559e-33 t=615008
bian shen 	变身	c=1 d=3.35776e-250 t=615008
bian tai 	变态	c=3 d=6.2865e-40 t=615008
bian wei 	变为	c=4 d=2.81301e-50 t=615008
bian wei 	变味	c=1 d=0 t=615008
bian xiao 	变小	c=7 d=5.24684e-119 t=615008
bian xie 	便携	c=1 d=0 t=615008
bian xie 	编写	c=6 d=1.25626e-125 t=615008
bian yan se 	边颜色	c=1 d=2.83186e-246 t=615008
bian yi 	变异	c=1 d=3.36459e-127 t=615008
bian yi 	编译	c=74 d=0.509156 t=615008
bian yi bu guo 	编译不过	c=1 d=6.15553e-57 t=615008
bian yi ge 	变一个	c=1 d=1.39316e-136 t=615008
bian yu 	便于	c=9 d=4.48845e-194 t=615008
bian yuan 	边缘	c=11 d=2.53556e-93 t=615008
bian yuan hua 	边缘化	c=1 d=5.74198e-268 t=615008
bian zai 	便在	c=1 d=6.9074e-148 t=615008
bian zao 	编造	c=1 d=1.70385e-34 t=615008
bian zhi 	贬值	c=4 d=7.72816e-116 t=615008
biao 	标	c=13 d=0.729789 t=615008
biao 	表	c=492 d=0.0156076 t=615008
biao ceng 	表层	c=1 d=0 t=615008
biao da 	表达	c=4 d=1.5117e-38 t=615008
biao da shi 	表达式	c=5 d=4.50208e-259 t=615008
biao dan 	表单	c=3 d=9.03663e-206 t=615008
biao di 	表弟	c=1 d=0 t=615008
biao dian 	标点	c=1 d=0 t=615008
biao ge 	表格	c=100 d=0.000167885 t=615008
biao guang 	表光	c=1 d=4.43052e-247 t=615008
biao ji 	标记	c=2 d=2.19362e-124 t=615008
biao jia 	标价	c=1 d=2.36632e-192 t=615008
biao jie gou 	表结构	c=1 d=3.78016e-56 t=615008
