# Rime user dictionary
#@/db_name	zrm2000
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	6937
#@/user_id	mac
hrge 	换个	c=8 d=2.69787 t=6937
hrgh 	换岗	c=1 d=3.29044e-12 t=6937
hrj 	豢	c=17 d=4.41198 t=6937
hrwj 	还完	c=1 d=0.00568457 t=6937
hslvdg 	红绿灯	c=3 d=0.0847561 t=6937
hsmg 	鸿蒙	c=136 d=6.92401 t=6937
http 	http://	c=1 d=2.45576e-11 t=6937
hvbf 	回本	c=2 d=0.433901 t=6937
hvdo 	会多	c=1 d=0.157237 t=6937
hvfj 	会反	c=1 d=4.26602e-08 t=6937
hvge 	会歌	c=1 d=0.00298248 t=6937
hvhy 	会坏	c=1 d=0.180866 t=6937
hvxt 	回血	c=1 d=0.126186 t=6937
hwa 	画	c=1 d=1.97589e-12 t=6937
hwak 	画	c=16 d=4.78966e-11 t=6937
hwbj 	画板	c=1 d=9.90555e-07 t=6937
hwby 	画饼	c=1 d=3.20865e-10 t=6937
hzbm 	黑边	c=5 d=1.80149e-07 t=6937
hzgv 	黑鬼	c=3 d=0.13466 t=6937
hznu 	黑奴	c=1 d=0.00257991 t=6937
hzqr 	黑圈	c=1 d=3.52782e-08 t=6937
hzwu 	黑屋	c=1 d=0.704688 t=6937
i 	出	c=21 d=2.35565 t=6937
iabm 	查遍	c=1 d=0.00386807 t=6937
iadm 	查点	c=6 d=0.949045 t=6937
iage 	插个	c=3 d=0.126031 t=6937
ibjc 	臭脚	c=2 d=1.02055 t=6937
idui 	创始	c=4 d=1.54538 t=6937
ie 	车	c=49 d=5.4408 t=6937
ifmj 	尘螨	c=1 d=0.024234 t=6937
igxyt 	成型	c=1 d=0.15259 t=6937
ihan 	长按	c=2 d=0.051518 t=6937
ihxm 	尝鲜	c=1 d=3.41472e-07 t=6937
iihv 	吃汇	c=4 d=0.589084 t=6937
iile 	迟了	c=1 d=0.882497 t=6937
iio 	眙	c=1 d=9.0327e-10 t=6937
iipj 	池畔	c=1 d=0.0685632 t=6937
ikbi 	钞币	c=1 d=0.00201931 t=6937
iphz 	纯黑	c=1 d=0.00311976 t=6937
irlq 	串流	c=4 d=0.960789 t=6937
irpu 	川	c=1 d=0.117068 t=6937
isdy 	重定	c=1 d=0.000626727 t=6937
isfh 	重放	c=1 d=0.186374 t=6937
isqm 	重签	c=1 d=0.00201931 t=6937
isyb 	重邮	c=9 d=0.0476608 t=6937
iubj 	初版	c=1 d=6.54326e-11 t=6937
iubk 	出包	c=3 d=0.113608 t=6937
iubk 	除暴	c=1 d=0.310367 t=6937
iuugu 	出生	c=1 d=0.163654 t=6937
ivsi 	垂死	c=1 d=0.386741 t=6937
ixm, 	春小麦	c=1 d=8.29382e-06 t=6937
j 	及	c=13 d=1.84743 t=6937
jcbc 	角标	c=1 d=0.00132678 t=6937
jcgz 	交给	c=2 d=0.00458074 t=6937
